Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European Equities"
"03 Feb 2023"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;101.80;102.60;100.00;101.20;"02/02/2023 16:29";CET;188452;19101333.00
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6.70;6.80;6.66;6.78;"02/02/2023 16:27";CET;143875;969866.87
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;16.70;17.00;16.30;17.00;"02/02/2023 16:25";CET;39290;655012.35
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;88.60;90.45;88.35;89.00;"02/02/2023 16:25";CET;940011;84099239.55
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;143.40;156.00;143.20;149.60;"02/02/2023 16:25";CET;60140;9019741.20
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;30.75;31.30;30.55;30.70;"02/02/2023 16:25";CET;17662;546222.70
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;3.755;3.85;3.755;3.83;"02/02/2023 16:25";CET;87960;333209.20
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;11.46;12.00;11.40;12.00;"02/02/2023 16:28";CET;1001044;11828555.34
AKER;NO0010234552;AKER;"Oslo Børs";NOK;728.00;738.00;721.50;723.50;"02/02/2023 16:27";CET;33705;24563669.50
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;36.00;37.90;36.00;37.65;"02/02/2023 16:25";CET;11382;422440.20
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;301.90;302.50;293.50;294.10;"02/02/2023 16:25";CET;1310691;390301238.20
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;15.80;16.395;15.67;15.93;"02/02/2023 16:25";CET;1344600;21398500.82
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;15.43;16.00;14.84;14.96;"02/02/2023 16:25";CET;806283;12245297.61
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;39.22;39.56;37.82;38.02;"02/02/2023 16:29";CET;1093557;42270199.38
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;66.40;74.00;66.40;74.00;"02/02/2023 16:19";CET;7474;546147.00
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;43.65;43.65;42.90;43.30;"02/02/2023 16:25";CET;19745;856506.30
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;3.53;3.53;3.495;3.50;"02/02/2023 16:25";CET;366071;1283302.71
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;42.00;46.60;38.40;42.78;"02/02/2023 16:25";CET;350505;14813911.34
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;264.50;264.50;257.00;260.50;"02/02/2023 16:25";CET;1024;267343.50
"ARRIBATEC GROUP";NO0003108102;ARR;"Oslo Børs";NOK;0.43;0.43;0.39;0.40;"02/02/2023 16:26";CET;3481857;1425005.65
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;14.00;14.78;14.00;14.78;"02/02/2023 16:35";CET;32262;466189.96
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;114.00;115.40;113.60;114.80;"02/02/2023 16:25";CET;59520;6814981.60
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;10.02;10.21;9.82;9.995;"02/02/2023 16:25";CET;397313;4005345.94
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;220.00;222.00;220.00;222.00;"02/02/2023 15:51";CET;1305;287200.00
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;100.30;101.80;89.20;93.90;"02/02/2023 16:27";CET;777525;72928617.35
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;23.96;23.99;22.93;23.13;"02/02/2023 16:25";CET;1439022;33505805.94
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;62.70;64.85;62.25;62.25;"02/02/2023 16:25";CET;189241;12022173.55
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;5.745;5.80;5.66;5.80;"02/02/2023 16:25";CET;273803;1571151.17
B2HOLDING;NO0010633951;B2H;"Oslo Børs";NOK;7.95;7.95;7.52;7.59;"02/02/2023 16:25";CET;161791;1227052.56
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;618.50;626.50;592.50;615.50;"02/02/2023 16:25";CET;106140;64657764.75
BELSHIPS;NO0003094104;BELCO;"Oslo Børs";NOK;17.98;18.42;17.86;18.28;"02/02/2023 16:25";CET;871290;15834414.60
BERGENBIO;NO0010650013;BGBIO;"Oslo Børs";NOK;7.355;7.355;7.01;7.115;"02/02/2023 16:27";CET;153626;1104842.26
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;49.90;52.10;49.90;50.50;"02/02/2023 16:25";CET;48572;2480580.95
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;91.06;92.30;91.06;91.31;"02/02/2023 15:35";CET;472;43182.72
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;270.00;278.00;270.00;277.50;"02/02/2023 17:01";CET;34395;9521936.00
BORGESTAD;NO0003111700;BOR;"Oslo Børs";NOK;1.50;1.50;1.40;1.46;"02/02/2023 16:25";CET;295457;428567.18
"BORR DRILLING";BMG1466R1732;BORR;"Oslo Børs";NOK;58.50;59.48;56.86;56.95;"02/02/2023 16:26";CET;792516;46104234.85
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;164.20;176.80;164.20;175.80;"02/02/2023 16:26";CET;186568;32149701.00
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;59.10;59.90;58.20;59.80;"02/02/2023 16:25";CET;48451;2873976.60
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;28.52;29.08;28.02;28.72;"02/02/2023 16:26";CET;194848;5578930.20
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;84.30;84.65;80.35;80.35;"02/02/2023 16:25";CET;376495;30767510.15
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;27.08;27.30;26.40;26.40;"02/02/2023 16:25";CET;283504;7599509.44
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;29.85;29.85;28.55;28.80;"02/02/2023 16:25";CET;2339;67715.85
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;41.78;42.80;41.02;42.72;"02/02/2023 16:25";CET;106600;4522364.56
CARASENT;NO0010123060;CARA;"Oslo Børs";NOK;16.00;16.96;15.96;15.96;"02/02/2023 16:25";CET;46953;770239.58
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;11.80;12.12;11.66;12.02;"02/02/2023 16:25";CET;248284;2964122.94
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;8.29;8.30;8.15;8.18;"02/02/2023 15:42";CET;18469;152311.48
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;101.00;107.30;101.00;106.20;"02/02/2023 16:25";CET;393538;41109519.20
DLTX;NO0003055808;DLTX;"Oslo Børs";NOK;3.94;4.175;3.90;4.045;"02/02/2023 16:25";CET;586743;2362484.38
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;187.80;188.60;186.15;187.00;"02/02/2023 16:27";CET;1288083;241435605.35
DNO;NO0003921009;DNO;"Oslo Børs";NOK;12.12;12.22;11.95;12.00;"02/02/2023 16:25";CET;5422955;65467615.90
DOF;NO0010070063;DOF;"Oslo Børs";NOK;0.72;0.739;0.541;0.676;"02/01/2023 11:53";CET;14360923;8821997.30
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;27.60;27.60;27.00;27.00;"02/02/2023 16:15";CET;31067;847457.70
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;11.60;11.60;11.30;11.40;"02/02/2023 16:25";CET;65981;756010.78
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;2.25;2.365;2.205;2.325;"02/02/2023 16:25";CET;196721;448089.29
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;36.22;36.72;36.06;36.14;"02/02/2023 16:25";CET;689562;25014477.40
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;20.10;20.70;20.10;20.40;"02/02/2023 16:25";CET;95948;1957134.50
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;14.70;15.37;14.70;15.15;"02/02/2023 16:25";CET;606080;9154165.35
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;24.00;24.00;23.50;24.00;"02/02/2023 16:25";CET;23894;570318.10
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;27.48;28.00;27.48;28.00;"02/02/2023 16:25";CET;452787;12529781.71
"ENSURGE MICROPOWER";NO0012450008;ENSU;"Oslo Børs";NOK;1.29;1.29;1.215;1.2288;"02/02/2023 16:25";CET;2137262;2668247.65
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;119.50;124.40;118.80;124.40;"02/02/2023 16:25";CET;272070;33350738.10
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;300.00;302.50;293.40;293.65;"02/02/2023 16:29";CET;3729892;1107649460.60
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;2.95;3.00;2.875;2.90;"02/02/2023 15:35";CET;57880;170151.35
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;69.00;70.00;66.30;67.30;"02/02/2023 16:29";CET;914732;61948847.30
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;315.00;318.00;310.20;313.00;"02/02/2023 16:26";CET;49168;15426469.20
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;145.46;147.52;143.50;143.52;"02/02/2023 16:25";CET;1641065;238163966.78
FRØY;NO0010936792;FROY;"Oslo Børs";NOK;61.00;61.50;58.50;60.40;"02/02/2023 16:25";CET;281425;17103350.00
"GAMING INNOVATION";US36467X2062;GIG;"Oslo Børs";NOK;26.50;26.88;25.72;26.82;"02/02/2023 16:16";CET;7532;197283.14
"GC RIEBER SHIPPING";NO0010262686;RISH;"Oslo Børs";NOK;11.90;12.00;11.50;11.95;"02/02/2023 16:25";CET;11769;138808.90
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;40.00;41.40;40.00;40.00;"02/02/2023 16:25";CET;844;34270.00
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;181.80;183.20;181.10;182.80;"02/02/2023 16:25";CET;421376;76722695.30
"GOLDEN OCEAN GROUP";BMG396372051;GOGL;"Oslo Børs";NOK;96.28;97.32;94.76;96.04;"02/02/2023 16:25";CET;792666;75977585.80
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;8.40;8.45;8.15;8.39;"02/02/2023 14:29";CET;31140;257761.48
"GRAM CAR CARRIERS";NO0011109563;GCC;"Oslo Børs";NOK;149.00;149.00;138.22;139.60;"02/02/2023 16:25";CET;29126;4126040.56
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;91.15;92.40;82.05;85.00;"02/02/2023 16:25";CET;1246443;106620044.35
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;570.00;570.00;570.00;570.00;"01/31/2023 09:25";CET;23;13110.00
"HAFNIA LIMITED";BMG4233B1090;HAFNI;"Oslo Børs";NOK;53.70;54.30;53.30;53.40;"02/02/2023 16:26";CET;1271774;68360935.20
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;20.30;20.70;18.80;19.16;"02/02/2023 16:26";CET;256669;5111792.48
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;35.00;36.22;34.88;35.96;"02/02/2023 16:29";CET;244455;8760413.98
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;3.00;3.00;2.90;2.95;"02/02/2023 16:08";CET;45200;132821.47
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;31.90;32.90;31.70;32.80;"02/02/2023 16:25";CET;88067;2834645.10
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;62.10;62.20;56.90;59.00;"02/02/2023 16:28";CET;1082572;64109882.00
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;142.00;144.00;142.00;142.00;"02/02/2023 16:19";CET;418;59956.00
"IDEX BIOMETRICS";NO0003070609;IDEX;"Oslo Børs";NOK;0.885;0.885;0.821;0.825;"02/02/2023 16:25";CET;2450240;2053467.66
"INTEROIL EXPL PROD";NO0010284318;IOX;"Oslo Børs";NOK;1.024;1.024;0.986;0.991;"02/02/2023 16:25";CET;885159;883269.90
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;13.50;14.40;13.50;14.40;"02/02/2023 16:19";CET;43992;616563.40
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;9.00;9.40;8.95;9.30;"02/02/2023 16:25";CET;132077;1205838.72
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;242.00;242.00;240.00;240.00;"02/01/2023 10:39";CET;449;108160.00
KAHOOT!;NO0010823131;KAHOT;"Oslo Børs";NOK;18.54;19.00;18.25;18.26;"02/02/2023 16:25";CET;2512454;46426910.74
KID;NO0010743545;KID;"Oslo Børs";NOK;76.50;78.50;76.50;77.90;"02/02/2023 16:29";CET;35607;2764664.60
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;27.30;27.70;27.15;27.15;"02/02/2023 16:25";CET;394043;10796582.70
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;67.00;68.20;66.00;68.20;"02/02/2023 16:25";CET;8031;534731.80
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;6.80;7.00;6.80;7.00;"02/02/2023 16:19";CET;38249;264522.00
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;13.50;13.50;12.74;13.22;"02/02/2023 16:25";CET;128518;1729707.78
"KOMPLETT BANK";NO0010694029;KOMP;"Oslo Børs";NOK;5.47;5.86;5.45;5.86;"02/02/2023 16:25";CET;66944;370343.56
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;2.66;2.76;2.66;2.76;"02/02/2023 16:25";CET;6578232;17919344.33
"KONGSBERG GRUPPEN";NO0003043309;KOG;"Oslo Børs";NOK;393.00;394.20;385.20;392.00;"02/02/2023 16:25";CET;162293;63194952.60
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;59.50;60.20;51.80;55.95;"02/02/2023 16:27";CET;2889126;161761733.10
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;9.59;9.745;9.40;9.55;"02/02/2023 16:25";CET;537081;5134306.87
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;22.45;23.25;22.45;22.70;"02/02/2023 16:25";CET;265774;6071623.50
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;221.50;229.00;221.00;225.00;"02/02/2023 16:42";CET;3222;725719.50
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;165.00;165.00;165.00;165.00;"02/02/2023 14:54";CET;450;74250.00
MELTWATER;NL00150003D3;MWTR;"Oslo Børs";NOK;17.70;17.75;17.63;17.75;"02/02/2023 16:25";CET;3721856;65841272.37
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;187.00;188.55;171.20;179.45;"02/02/2023 16:29";CET;2522573;449038449.10
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;16.45;17.225;16.435;17.225;"02/02/2023 16:29";CET;4563955;77167251.87
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;132.80;133.00;124.60;124.60;"02/02/2023 16:26";CET;13590;1730918.40
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;12.78;13.44;12.78;13.16;"02/02/2023 15:48";CET;4893;64586.82
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;35.00;35.00;33.60;33.60;"02/02/2023 15:31";CET;8296;286518.50
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;6.95;7.00;6.75;6.82;"02/02/2023 16:25";CET;132889;902450.47
NEL;NO0010081235;NEL;"Oslo Børs";NOK;17.465;18.185;17.04;18.185;"02/02/2023 16:28";CET;10498525;187300141.67
"NEXT BIOMETRICS GP";NO0010629108;NEXT;"Oslo Børs";NOK;4.37;4.43;4.20;4.35;"02/02/2023 16:25";CET;56598;239269.84
NORBIT;NO0010856511;NORBT;"Oslo Børs";NOK;32.00;32.00;31.30;31.30;"02/02/2023 16:25";CET;68162;2177349.00
"NORDIC NANOVECTOR";NO0010597883;NANOV;"Oslo Børs";NOK;0.97;0.97;0.91;0.91;"02/02/2023 16:25";CET;2326939;2191343.82
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;167.85;174.90;167.85;174.90;"02/02/2023 16:32";CET;1104823;190366157.40
"NORSK HYDRO";NO0005052605;NHY;"Oslo Børs";NOK;81.18;81.34;79.64;80.20;"02/02/2023 16:27";CET;5305261;426154263.86
"NORSKE SKOG";NO0010861115;NSKOG;"Oslo Børs";NOK;69.60;71.75;69.30;70.25;"02/02/2023 16:25";CET;959064;67544084.10
"NORTHERN DRILLING";BMG6624L1090;NODL;"Oslo Børs";NOK;31.60;31.60;29.70;30.10;"02/02/2023 16:25";CET;3378694;104609153.00
"NORTHERN OCEAN LTD";BMG6682J1036;NOL;"Oslo Børs";NOK;11.00;11.20;10.88;10.88;"02/02/2023 16:25";CET;155266;1721325.80
"NORWEGIAN AIR SHUT";NO0010196140;NAS;"Oslo Børs";NOK;10.13;10.475;10.13;10.345;"02/02/2023 16:29";CET;7630189;78852318.74
"NORWEGIAN ENERGY";NO0010379266;NOR;"Oslo Børs";NOK;402.50;406.00;400.00;402.00;"02/02/2023 16:25";CET;18052;7269670.50
"NRC GROUP";NO0003679102;NRC;"Oslo Børs";NOK;14.46;15.00;14.46;15.00;"02/02/2023 16:25";CET;307366;4518674.36
"NYKODE THERAPEUTIC";NO0010714785;NYKD;"Oslo Børs";NOK;30.00;31.32;29.98;30.50;"02/02/2023 16:32";CET;1072795;32751581.61
OCEANTEAM;NO0010317316;OTS;"Oslo Børs";NOK;1.48;1.48;1.40;1.46;"02/02/2023 16:25";CET;112925;161240.73
"ODFJELL DRILLING";BMG671801022;ODL;"Oslo Børs";NOK;26.90;26.90;25.70;25.90;"02/02/2023 16:25";CET;386746;10074282.35
"ODFJELL SER. A";NO0003399909;ODF;"Oslo Børs";NOK;87.40;87.40;86.60;87.40;"02/02/2023 16:25";CET;21186;1849881.00
"ODFJELL SER. B";NO0003399917;ODFB;"Oslo Børs";NOK;83.50;86.50;83.50;86.00;"02/02/2023 16:25";CET;5936;509351.00
"ODFJELL TECHNOLOGY";BMG6716L1081;OTL;"Oslo Børs";NOK;36.055;38.15;35.80;36.50;"02/02/2023 16:25";CET;580087;20950804.44
OKEA;NO0010816895;OKEA;"Oslo Børs";NOK;33.00;33.00;31.30;31.75;"02/02/2023 16:25";CET;1263006;40382348.20
"OKEANIS ECO TANKER";MHY641771016;OET;"Oslo Børs";NOK;180.60;184.40;180.00;183.80;"02/02/2023 16:25";CET;24163;4425150.20
"OLAV THON EIENDOMS";NO0005638858;OLT;"Oslo Børs";NOK;176.50;179.00;175.00;176.00;"02/02/2023 16:25";CET;13577;2406331.50
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;74.74;75.80;74.04;74.56;"02/02/2023 16:26";CET;1434639;107293119.30
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;7.91;8.00;7.81;8.00;"02/02/2023 16:05";CET;19157;151772.85
"PANORO ENERGY";NO0010564701;PEN;"Oslo Børs";NOK;29.40;29.50;28.72;28.72;"02/02/2023 16:25";CET;372013;10809360.88
"PARETO BANK";NO0010397581;PARB;"Oslo Børs";NOK;54.60;55.00;54.00;54.90;"02/02/2023 16:25";CET;21823;1197049.60
"PCI BIOTECH HOLD";NO0010405640;PCIB;"Oslo Børs";NOK;2.56;2.56;2.315;2.445;"02/02/2023 16:25";CET;376442;927750.43
PETROLIA;CY0102630916;PSE;"Oslo Børs";NOK;4.45;4.61;4.44;4.58;"02/02/2023 16:25";CET;6487;29026.57
"PETRONOR E&P";NO0011157232;PNOR;"Oslo Børs";NOK;0.80;0.80;0.7821;0.80;"02/02/2023 16:25";CET;688919;545426.04
"PEXIP HOLDING";NO0010840507;PEXIP;"Oslo Børs";NOK;13.92;14.27;13.66;14.26;"02/02/2023 16:25";CET;465766;6544522.71
PGS;NO0010199151;PGS;"Oslo Børs";NOK;9.29;9.30;8.93;9.005;"02/02/2023 16:29";CET;19642402;179446086.38
PHOTOCURE;NO0010000045;PHO;"Oslo Børs";NOK;108.50;112.00;108.30;109.10;"02/02/2023 16:25";CET;59383;6550031.90
